      #Energy        TDOS
     -26.57940       0.00000
     -26.56840       0.00000
     -26.55740       0.00000
     -26.54640       0.00000
     -26.53540       0.00000
     -26.52440       0.00000
     -26.51240       0.00000
     -26.50140       0.00000
     -26.49040       0.00000
     -26.47940       0.00000
     -26.46840       0.00000
     -26.45740       0.00000
     -26.44640       0.00000
     -26.43540       0.00000
     -26.42440       0.00000
     -26.41240       0.00000
     -26.40140       0.00000
     -26.39040       0.00000
     -26.37940       0.00000
     -26.36840       0.00000
     -26.35740       0.00000
     -26.34640       0.00000
     -26.33540       0.00000
     -26.32440       0.00000
     -26.31240       0.00000
     -26.30140       0.00000
     -26.29040       0.00000
     -26.27940       0.00000
     -26.26840       0.00000
     -26.25740       0.00000
     -26.24640       0.00000
     -26.23540       0.00000
     -26.22440       0.00000
     -26.21240       0.00000
     -26.20140       0.00000
     -26.19040       0.00000
     -26.17940       0.00000
     -26.16840       0.00000
     -26.15740       0.00000
     -26.14640       0.00000
     -26.13540       0.00000
     -26.12440       0.00000
     -26.11240       0.00000
     -26.10140       0.00000
     -26.09040       0.00000
     -26.07940       0.00000
     -26.06840       0.00000
     -26.05740       0.00000
     -26.04640       0.00000
     -26.03540       0.00000
     -26.02440       0.00000
     -26.01240       0.00000
     -26.00140       0.00000
     -25.99040       0.00000
     -25.97940       0.00000
     -25.96840       0.00000
     -25.95740       0.00000
     -25.94640       0.00000
     -25.93540       0.00000
     -25.92340       0.00000
     -25.91240       0.00000
     -25.90140       0.00000
     -25.89040       0.00000
     -25.87940       0.00000
     -25.86840       0.00000
     -25.85740       0.00000
     -25.84640       0.00000
     -25.83540       0.00000
     -25.82340       0.00000
     -25.81240       0.00000
     -25.80140       0.00000
     -25.79040       0.00000
     -25.77940       0.00000
     -25.76840       0.00000
     -25.75740       0.00000
     -25.74640       0.00000
     -25.73540       0.00000
     -25.72340       0.00000
     -25.71240       0.00000
     -25.70140       0.00000
     -25.69040       0.00000
     -25.67940       0.00000
     -25.66840       0.00000
     -25.65740       0.00000
     -25.64640       0.00000
     -25.63540       0.00000
     -25.62340       0.00000
     -25.61240       0.00000
     -25.60140       0.00000
     -25.59040       0.00000
     -25.57940       0.00000
     -25.56840       0.00000
     -25.55740       0.00000
     -25.54640       0.00000
     -25.53540       0.00000
     -25.52340       0.00000
     -25.51240       0.00000
     -25.50140       0.00000
     -25.49040       0.00000
     -25.47940       0.00000
     -25.46840       0.00000
     -25.45740       0.00000
     -25.44640       0.00000
     -25.43540       0.00000
     -25.42340       0.00000
     -25.41240       0.00000
     -25.40140       0.00000
     -25.39040       0.00000
     -25.37940       0.00000
     -25.36840       0.00000
     -25.35740       0.00000
     -25.34640       0.00000
     -25.33540       0.00000
     -25.32340       0.00000
     -25.31240       0.00000
     -25.30140       0.00000
     -25.29040       0.00000
     -25.27940       0.00000
     -25.26840       0.00000
     -25.25740       0.00000
     -25.24640       0.00002
     -25.23540       0.00011
     -25.22340       0.00052
     -25.21240       0.00218
     -25.20140       0.00823
     -25.19040       0.02832
     -25.17940       0.08858
     -25.16840       0.25210
     -25.15740       0.65300
     -25.14640       1.54100
     -25.13540       3.31500
     -25.12340       6.51100
     -25.11240      11.69000
     -25.10140      19.21000
     -25.09040      29.00000
     -25.07940      40.33000
     -25.06840      51.94000
     -25.05740      62.35000
     -25.04640      70.37000
     -25.03540      75.45000
     -25.02340      77.62000
     -25.01240      77.20000
     -25.00140      74.41000
     -24.99040      69.21000
     -24.97940      61.54000
     -24.96840      51.74000
     -24.95740      40.67000
     -24.94640      29.64000
     -24.93540      19.88000
     -24.92340      12.22000
     -24.91240       6.85800
     -24.90140       3.50600
     -24.89040       1.63100
     -24.87940       0.68950
     -24.86840       0.26470
     -24.85740       0.09236
     -24.84640       0.02976
     -24.83540       0.01093
     -24.82340       0.01223
     -24.81240       0.03629
     -24.80140       0.11570
     -24.79040       0.33980
     -24.77940       0.90760
     -24.76840       2.20600
     -24.75740       4.87800
     -24.74640       9.82700
     -24.73540      18.05000
     -24.72340      30.26000
     -24.71240      46.42000
     -24.70140      65.32000
     -24.69040      84.68000
     -24.67940     101.80000
     -24.66840     114.30000
     -24.65740     121.60000
     -24.64640     124.50000
     -24.63540     124.70000
     -24.62340     124.40000
     -24.61240     124.50000
     -24.60140     124.70000
     -24.59040     123.70000
     -24.57940     121.00000
     -24.56840     117.60000
     -24.55740     116.70000
     -24.54640     123.20000
     -24.53540     141.50000
     -24.52340     173.80000
     -24.51240     218.90000
     -24.50140     272.30000
     -24.49040     328.10000
     -24.47940     381.10000
     -24.46840     428.20000
     -24.45740     468.60000
     -24.44640     503.00000
     -24.43540     530.80000
     -24.42340     549.00000
     -24.41240     552.40000
     -24.40140     536.20000
     -24.39040     498.90000
     -24.37940     445.00000
     -24.36840     384.00000
     -24.35740     327.30000
     -24.34640     283.60000
     -24.33540     256.90000
     -24.32340     244.80000
     -24.31240     240.90000
     -24.30140     237.10000
     -24.29040     226.10000
     -24.27940     204.30000
     -24.26840     172.20000
     -24.25740     134.20000
     -24.24640      96.04000
     -24.23440      62.87000
     -24.22340      37.55000
     -24.21240      20.43000
     -24.20140      10.11000
     -24.19040       4.55300
     -24.17940       1.87700
     -24.16840       0.74970
     -24.15740       0.41530
     -24.14640       0.58170
     -24.13440       1.31900
     -24.12340       3.01800
     -24.11240       6.37100
     -24.10140      12.29000
     -24.09040      21.67000
     -24.07940      34.97000
     -24.06840      51.81000
     -24.05740      70.66000
     -24.04640      89.14000
     -24.03440     104.70000
     -24.02340     115.50000
     -24.01240     121.20000
     -24.00140     122.90000
     -23.99040     122.50000
     -23.97940     121.70000
     -23.96840     121.20000
     -23.95740     120.20000
     -23.94640     116.70000
     -23.93440     108.90000
     -23.92340      95.95000
     -23.91240      78.88000
     -23.90140      60.12000
     -23.89040      42.59000
     -23.87940      28.76000
     -23.86840      20.02000
     -23.85740      16.66000
     -23.84640      18.24000
     -23.83440      23.76000
     -23.82340      31.94000
     -23.81240      41.28000
     -23.80140      50.26000
     -23.79040      57.72000
     -23.77940      63.11000
     -23.76840      66.50000
     -23.75740      68.40000
     -23.74640      69.22000
     -23.73440      68.92000
     -23.72340      66.98000
     -23.71240      62.70000
     -23.70140      55.71000
     -23.69040      46.40000
     -23.67940      35.86000
     -23.66840      25.54000
     -23.65740      16.68000
     -23.64640       9.95000
     -23.63440       5.41200
     -23.62340       2.67900
     -23.61240       1.20500
     -23.60140       0.49270
     -23.59040       0.18290
     -23.57940       0.06161
     -23.56840       0.01884
     -23.55740       0.00522
