      #Energy        TDOS
     -23.89461     457.70000
     -23.88361     448.30000
     -23.87161     441.50000
     -23.86061     437.90000
     -23.84961     438.40000
     -23.83861     443.70000
     -23.82761     453.70000
     -23.81661     467.70000
     -23.80561     484.60000
     -23.79461     503.30000
     -23.78261     522.70000
     -23.77161     541.60000
     -23.76061     557.60000
     -23.74961     567.70000
     -23.73861     568.10000
     -23.72761     555.80000
     -23.71661     529.50000
     -23.70561     490.40000
     -23.69361     442.30000
     -23.68261     389.60000
     -23.67161     336.40000
     -23.66061     285.50000
     -23.64961     239.00000
     -23.63861     198.50000
     -23.62761     166.50000
     -23.61661     145.40000
     -23.60461     136.70000
     -23.59361     140.30000
     -23.58261     153.70000
     -23.57161     172.20000
     -23.56061     191.00000
     -23.54961     206.10000
     -23.53861     216.40000
     -23.52761     223.60000
     -23.51561     231.00000
     -23.50461     241.50000
     -23.49361     255.70000
     -23.48261     272.10000
     -23.47161     288.10000
     -23.46061     302.50000
     -23.44961     316.40000
     -23.43861     332.00000
     -23.42661     351.00000
     -23.41561     372.80000
     -23.40461     393.70000
     -23.39361     408.80000
     -23.38261     414.10000
     -23.37161     407.90000
     -23.36061     390.90000
     -23.34961     365.00000
     -23.33761     332.10000
     -23.32661     294.20000
     -23.31561     253.40000
     -23.30461     213.20000
     -23.29361     177.40000
     -23.28261     148.90000
     -23.27161     129.30000
     -23.26061     117.40000
     -23.24861     110.80000
     -23.23761     106.40000
     -23.22661     102.00000
     -23.21561      96.45000
     -23.20461      89.82000
     -23.19361      82.89000
     -23.18261      76.41000
     -23.17161      70.55000
     -23.15961      64.78000
     -23.14861      58.20000
     -23.13761      50.15000
     -23.12661      40.72000
     -23.11561      30.72000
     -23.10461      21.35000
     -23.09361      13.57000
     -23.08261       7.87300
     -23.07061       4.15400
     -23.05961       1.99200
     -23.04861       0.86720
     -23.03761       0.34260
     -23.02661       0.12280
     -23.01561       0.03991
     -23.00461       0.01177
     -22.99361       0.00315
     -22.98261       0.00076
     -22.97061       0.00017
     -22.95961       0.00003
     -22.94861       0.00001
     -22.93761       0.00000
     -22.92661       0.00000
     -22.91561       0.00000
     -22.90461       0.00000
     -22.89361       0.00000
     -22.88161       0.00000
     -22.87061       0.00000
     -22.85961       0.00000
     -22.84861       0.00000
     -22.83761       0.00000
     -22.82661       0.00000
     -22.81561       0.00000
     -22.80461       0.00000
     -22.79261       0.00000
     -22.78161       0.00000
     -22.77061       0.00000
     -22.75961       0.00000
     -22.74861       0.00000
     -22.73761       0.00000
     -22.72661       0.00000
     -22.71561       0.00000
     -22.70361       0.00000
     -22.69261       0.00000
     -22.68161       0.00000
     -22.67061       0.00000
